userID,是否在黑名单,历史用户评分,一层关系黑户数,二层关系黑户数,持有手机数,大额转账数,违约贷款数,完结贷款数,被拒贷款数
person_1,0,AA,0,0,1,7,1,1,0
person_2,0,A,0,0,1,3,1,0,0
person_3,0,A,0,0,1,1,0,0,1
person_4,0,AA,0,0,1,4,0,1,0
person_5,0,C,0,0,1,2,1,0,0
person_6,0,AA,0,0,1,5,1,1,0
person_7,0,A,0,0,1,4,0,1,0
person_8,0,B,0,0,1,2,1,0,0
person_9,0,B,0,0,1,5,0,1,0
person_10,0,A,0,0,1,6,1,0,0
person_11,0,AA,0,0,1,3,0,0,1
person_12,0,AA,0,0,1,7,0,0,1
person_13,0,A,0,0,1,3,0,1,0
person_14,0,A,1,0,1,4,0,0,0
person_15,1,D,0,0,1,2,0,1,0
person_16,0,A,0,1,1,4,0,0,1
person_17,0,AA,0,0,1,1,1,0,0
person_18,0,C,1,0,1,1,0,0,1
person_19,0,AA,0,0,1,2,1,0,0
person_20,0,A,0,1,1,3,0,0,1
person_21,0,AA,0,0,1,7,1,1,0
person_22,0,A,0,0,1,2,1,0,0
person_23,0,A,0,0,1,4,0,0,1
person_24,0,AA,0,0,1,4,0,1,0
person_25,0,C,0,0,1,1,1,0,0
person_26,0,AA,0,0,1,5,1,1,0
person_27,0,A,0,0,1,6,0,1,0
person_28,0,B,0,0,1,5,1,0,0
person_29,0,B,0,0,1,9,0,1,0
person_30,0,A,0,0,1,8,1,0,0
person_31,0,AA,0,0,1,4,0,0,1
person_32,0,AA,0,0,1,2,0,0,1
person_33,0,A,0,0,1,5,0,1,0
person_34,0,A,1,0,1,3,0,0,0
person_35,1,D,0,0,1,2,0,1,0
person_36,0,A,0,1,1,5,0,0,1
person_37,0,AA,0,0,1,3,1,0,0
person_38,0,C,1,0,1,3,0,0,1
person_39,0,AA,0,0,1,6,1,0,0
person_40,0,A,0,1,1,4,0,0,1
person_41,0,AA,0,0,1,6,1,1,0
person_42,0,A,0,0,1,3,1,0,0
person_43,0,A,0,0,1,0,0,0,1
person_44,0,AA,0,0,1,2,0,1,0
person_45,0,C,0,0,1,4,1,0,0
person_46,0,AA,0,0,1,0,1,1,0
person_47,0,A,0,0,1,0,0,1,0
person_48,0,B,0,0,1,3,1,0,0
person_49,0,B,0,0,1,3,0,1,0
person_50,0,A,0,0,1,8,1,0,0
person_51,0,AA,0,0,1,1,0,0,1
person_52,0,AA,0,0,1,2,0,0,1
person_53,0,A,0,0,1,2,0,1,0
person_54,0,A,1,0,1,1,0,0,0
person_55,1,D,0,0,1,2,0,1,0
person_56,0,A,0,1,1,3,0,0,1
person_57,0,AA,0,0,1,1,1,0,0
person_58,0,C,1,0,1,4,0,0,1
person_59,0,AA,0,0,1,2,1,0,0
person_60,0,A,0,1,1,4,0,0,1
person_61,0,AA,0,0,1,8,1,1,0
person_62,0,A,0,0,1,3,1,0,0
person_63,0,A,0,0,1,2,0,0,1
person_64,0,AA,0,0,1,3,0,1,0
person_65,0,C,0,0,1,3,1,0,0
person_66,0,AA,0,0,1,2,1,1,0
person_67,0,A,0,0,1,4,0,1,0
person_68,0,B,0,0,1,2,1,0,0
person_69,0,B,0,0,1,1,0,1,0
person_70,0,A,0,0,1,6,1,0,0
person_71,0,AA,0,0,1,4,0,0,1
person_72,0,AA,0,0,1,2,0,0,1
person_73,0,A,0,0,1,4,0,1,0
person_74,0,A,1,0,1,6,0,0,0
person_75,1,D,0,0,1,5,0,1,0
person_76,0,A,0,1,1,4,0,0,1
person_77,0,AA,0,0,1,5,1,0,0
person_78,0,C,1,0,1,4,0,0,1
person_79,0,AA,0,0,1,2,1,0,0
person_80,0,A,0,1,1,3,0,0,1
person_81,0,AA,0,0,1,10,1,1,0
person_82,0,A,0,0,1,3,1,0,0
person_83,0,A,0,0,1,4,0,0,1
person_84,0,AA,0,0,1,2,0,1,0
person_85,0,C,0,0,1,5,1,0,0
person_86,0,AA,0,0,1,3,1,1,0
person_87,0,A,0,0,1,5,0,1,0
person_88,0,B,0,0,1,4,1,0,0
person_89,0,B,0,0,1,5,0,1,0
person_90,0,A,0,0,1,8,1,0,0
person_91,0,AA,0,0,1,4,0,0,1
person_92,0,AA,0,0,1,4,0,0,1
